;-------------------------------
;캐릭터 번호
;-------------------------------
0, 프로듀서
1, 하루카
2, 치하야
3, 미키
4, 유키호
5, 야요이
6, 마코토
7, 이오리
8, 타카네
9, 리츠코
10, 아즈사
11, 아미
12, 마미
13, 히비키
14, 미라이
15, 시즈카
16, 츠바사
17, 코토하
18, 엘레나
19, 미나코
20, 메구미
21, 마츠리
22, 세리카
23, 아카네
24, 안나
25, 로코
26, 유리코
27, 사요코
28, 아리사
29, 우미
30, 이쿠
31, 토모카
32, 에밀리
33, 시호
34, 아유무
35, 히나타
36, 카나
37, 나오
38, 치즈루
39, 코노미
40, 타마키
41, 후우카
42, 미야
43, 노리코
44, 미즈키
45, 카렌
46, 리오
47, 스바루
48, 레이카
49, 모모코
50, 줄리아
51, 츠무기
52, 카오리
53, 코토리
54, 미사키
55, AKANE쨩
56, 소라
;---------------
;아이템
;---------------
101,스파크드링크10
102,스파크드링크20
103,스파크드링크30
104,목캔디
105,버블티
106,고함량카카오초콜릿
107,롤케이크
351,츄파에센스
352,감응형스마트섬유
353,붉은체크무늬원단
354,희망의별조각
1001,글로리어스트리니티
1003,츄파카브라TFSize
1004,프롤로그루주
1013,인피니트스카이
2001,목표는톱아이돌
2002,한결같이내일을향해
3015,N모가미시즈카
3023,N노노하라아카네
3037,N요코야마나오
3050,N줄리아
3067,N+모가미시즈카
3102,N+줄리아
